ACTION: MOVE( Peasant 1 | (5, 11) )

ACTION: HARVEST( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (7, 10) )

ACTION: DEPOSIT( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (5, 11) )

ACTION: HARVEST( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (7, 10) )

ACTION: DEPOSIT( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (5, 11) )

ACTION: HARVEST( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (7, 10) )

ACTION: DEPOSIT( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (5, 11) )

ACTION: HARVEST( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (7, 10) )

ACTION: DEPOSIT( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (5, 8) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (7, 8) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (5, 5) )

ACTION: HARVEST( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (7, 8) )

ACTION: DEPOSIT( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (5, 5) )

ACTION: HARVEST( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (7, 8) )

ACTION: DEPOSIT( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (5, 5) )

ACTION: HARVEST( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (7, 8) )

ACTION: DEPOSIT( Peasant 1 | WOOD )

ACTION: MOVE( Peasant 1 | (14, 4) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 8) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (14, 4) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 8) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (14, 4) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 8) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (14, 4) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: BUILD PEASANT: 2 BY: 0

ACTION: MOVE( Peasant 2 | (14, 3) )

ACTION: HARVEST( Peasant 2 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 8) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (21, 15) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 2 | (9, 8) )

ACTION: DEPOSIT( Peasant 2 | GOLD )

ACTION: MOVE( Peasant 2 | (21, 16) )

ACTION: HARVEST( Peasant 2 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 10) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (21, 15) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 10) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (21, 15) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 10) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (21, 15) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 10) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (21, 15) )

ACTION: HARVEST( Peasant 1 | GOLD )

ACTION: MOVE( Peasant 1 | (9, 10) )

ACTION: DEPOSIT( Peasant 1 | GOLD )

